symbol,date,open,high,low,close,volume,count
SH000001,202204070000,892.4720,906.5470,870.0060,871.9050,385036945,4221715151
SH000001,202204080000,876.6980,893.2300,842.6880,892.9670,451728357,4829210226
SH000001,202204110000,874.5420,896.0400,858.8990,870.1890,471827813,5033280024
SH000001,202204120000,871.7890,948.7740,871.7890,946.3710,746816065,8276723654
SH000001,202204130000,931.1510,949.9660,903.4910,907.1550,824604600,8818139203
SH000001,202204140000,895.8560,918.1240,881.1550,898.2430,582339688,5890631224
SH000001,202204150000,893.0090,915.2750,848.5150,857.2520,560579777,5515250271
SH000001,202204180000,842.2040,868.3470,841.4560,853.0860,358785832,3589785003
SH000001,202204190000,848.4030,879.6890,844.7270,862.7830,388688104,3833411000
SH000001,202204200000,865.5320,896.2430,854.7640,891.4150,524735168,5298418255
SH000001,202204210000,879.8510,879.8510,818.5280,822.0600,486494271,4696693474
SH000001,202204220000,809.6580,809.6580,783.1240,788.3900,348811448,3256783325
SH000001,202204250000,765.6840,771.2540,731.9380,732.7780,371880098,3335698979
SH000001,202204260000,748.0190,748.9920,706.9800,712.9400,343939107,3070405781
SH000001,202204270000,700.6480,727.9770,684.0360,727.9770,346729282,2939218596
SH000001,202204280000,715.8680,733.6760,694.8160,707.5020,305197197,2589870789
SH000001,202204290000,707.5110,738.2020,703.5030,735.0950,313675733,2692175287
SH000001,202205050000,709.4850,733.0710,705.1490,725.2050,260851648,2189338850
SH000001,202205060000,703.5180,708.9220,686.5820,690.4740,263572158,2203914197
SH000001,202205090000,684.3510,707.3920,684.3510,699.7460,205100496,1705333031
SH000001,202205100000,687.6720,718.7480,686.1260,712.2270,233616512,2051158251
SH000001,202205110000,718.5470,739.8260,718.5470,722.4810,349463321,3136222885
SH000001,202205120000,720.5430,731.9770,713.8190,731.7560,255332698,2094615159
SH000001,202205130000,725.6500,741.9870,714.6990,740.5180,259080583,2233977590
SH000001,202205160000,740.2960,763.9970,735.9290,753.4400,315848441,2855965109
SH000001,202205170000,748.2640,751.7890,731.5010,747.5240,258479733,2361799290
SH000001,202205180000,737.2390,763.9960,737.0010,751.3400,383378489,3037874194
SH000001,202205190000,743.5160,766.9570,742.5820,756.7700,299030322,2499435521
SH000001,202205200000,763.7500,783.2260,759.1700,772.2090,311753742,2774859057
SH000001,202205230000,774.9510,780.5320,761.7750,777.8520,269442572,2267967888
SH000001,202205240000,783.9420,790.4360,759.5240,759.5240,326943853,2873420480
SH000001,202205250000,758.5620,782.4980,753.4300,775.8000,327153974,2922342258
SH000001,202205260000,772.3890,785.4590,760.7360,782.0350,313438800,2897839404
SH000001,202205270000,779.1190,794.7620,769.7940,782.5850,339151693,3164342251
SH000001,202205300000,794.4010,806.1500,780.3080,800.1650,425353232,4052227064
SH000001,202205310000,789.7950,803.5880,785.4540,801.7700,310694295,3010326407
SH000001,202206010000,809.3250,827.5080,797.7470,805.8820,337317374,3343088912
SH000001,202206020000,790.7050,794.2090,782.9010,790.6590,262478203,2466532045
SH000001,202206060000,785.3200,801.1250,778.7940,796.8530,243403811,2384566506
SH000001,202206070000,795.2780,801.6140,776.5360,781.9620,212890163,2054920481
SH000001,202206080000,782.2770,787.0780,765.9000,785.7480,247497481,2247603917
SH000001,202206090000,783.5510,783.5510,755.2010,759.3580,229564977,2057550896
SH000001,202206100000,763.9530,784.4530,763.9530,770.5500,243297246,2278796769
SH000001,202206130000,761.1540,773.0620,750.6930,763.8860,253793658,2339519264
SH000001,202206140000,753.7090,766.3540,750.8110,766.2420,222247277,2035911791
SH000001,202206150000,768.8270,787.4050,763.3310,776.7560,307440307,2862967069
SH000001,202206160000,775.4400,791.9350,775.3970,787.7290,270347534,2470603084
SH000001,202206170000,782.1180,786.3860,766.2170,775.5950,230490776,2174458324
SH000001,202206200000,778.5240,797.5420,775.1980,794.4250,287093969,2768966787
SH000001,202206210000,790.0750,808.5500,787.1700,795.5090,288438316,2824069815
SH000001,202206220000,794.5790,796.1660,775.1980,775.1980,227622217,2224170608
SH000001,202206230000,779.9890,786.8480,766.7760,784.4930,185585901,1917474399
SH000001,202206240000,787.8930,840.9350,786.0950,836.1210,485428141,4783724194
SH000001,202206270000,847.5930,878.2820,844.7880,852.6970,701243345,7156642161
SH000001,202206280000,858.1140,910.8470,858.1140,910.8470,749591279,7918366579
SH000001,202206290000,916.6950,942.6290,900.6660,908.8830,1347625958,14706881179
SH000001,202206300000,952.1450,978.3720,935.7850,954.0360,718930547,8426038262
SH000001,202207010000,898.5230,907.4540,876.4130,879.6420,758890512,7648204353
SH000001,202207040000,862.2470,885.8570,856.4570,861.6160,488024424,5055408795
SH000001,202207050000,858.5980,873.6850,847.4000,855.7920,398547789,4168531995
SH000001,202207060000,835.9290,835.9290,819.0380,824.9490,400977062,4101912895
SH000001,202207070000,827.5520,830.9890,815.7790,816.2470,242230921,2540269592
SH000001,202207080000,848.0950,849.4580,820.7840,821.1160,349037904,3500672971
SH000001,202207110000,802.0110,822.4870,799.8620,816.4900,314435826,3135051026
SH000001,202207120000,813.9620,813.9620,797.1180,797.1180,241218615,2361607298
SH000001,202207130000,801.0170,816.9590,801.0170,811.5920,212639930,2192837120
SH000001,202207140000,809.6690,817.7610,801.5230,816.2630,192830533,2060629660
SH000001,202207150000,809.3660,847.4470,802.3840,826.0170,388615138,3968298322
SH000001,202207180000,810.7470,829.1040,810.7470,826.0590,239425213,2495945472
SH000001,202207190000,843.1180,851.3190,827.2790,828.1190,305731504,3264710597
SH000001,202207200000,824.4640,860.9800,823.1110,846.7120,336144980,3611875292
SH000001,202207210000,838.6850,854.4090,835.6000,835.8950,251322153,2768687562
